"","dim","ntrain","mtry_first","mtry_second","min_node_size_spl_first","min_node_size_spl_second","min_node_size_ave_first","min_node_size_ave_second","splitratio_first","splitratio_second","replace_first","replace_second","sample_fraction_first","sample_fraction_second","RsparseT2weak"
"1",12,1000,7,11,10,10,100,1,0.3,0.05,TRUE,FALSE,0.5,0.7,19.2438555637698
"2",12,1000,4,7,10,100,100,10,0.3,0.8,FALSE,FALSE,1,0.7,18.8264970164963
"3",12,1000,12,7,10,3,1,3,0.5,0.1,TRUE,FALSE,0.7,0.9,NA
"4",12,1000,7,2,1,10,30,10,0.8,0.5,TRUE,TRUE,0.3,0.1,NA
"5",12,1000,8,12,1,3,3,1,0.8,0.2,FALSE,TRUE,1,0.3,NA
"6",12,1000,7,7,30,1,3,1,0.2,0.5,FALSE,TRUE,1,0.9,NA
"7",12,1000,10,7,100,30,3,10,0.1,0.05,FALSE,FALSE,0.632,0.5,NA
"8",12,1000,9,4,10,100,3,100,0.1,0.05,FALSE,TRUE,0.5,0.01,NA
"9",12,1000,12,7,10,30,10,10,0.3,0.8,TRUE,TRUE,0.1,0.632,NA
"10",12,1000,6,1,100,30,3,30,0.5,0.05,FALSE,FALSE,0.7,0.9,NA
"11",12,1000,10,12,1,1,1,10,0.3,0.8,TRUE,FALSE,0.9,0.632,NA
"12",12,1000,10,1,3,3,3,10,0.1,0.05,FALSE,FALSE,0.632,0.1,NA
"13",12,1000,3,4,1,10,1,100,0.05,0.5,FALSE,TRUE,0.7,0.5,NA
"14",12,1000,4,11,3,100,10,30,0.2,0.8,FALSE,FALSE,0.1,0.632,NA
"15",12,1000,2,11,30,30,1,10,0.05,0.2,FALSE,FALSE,0.5,0.5,NA
"16",12,1000,6,6,1,30,1,1,0.3,0.1,TRUE,TRUE,0.5,0.1,NA
"17",12,1000,8,12,100,30,30,100,0.5,0.8,TRUE,FALSE,0.9,0.01,NA
"18",12,1000,4,6,30,30,100,10,0.5,0.5,TRUE,FALSE,0.7,0.9,NA
"19",12,1000,9,7,30,100,30,100,0.1,0.05,TRUE,FALSE,0.1,0.5,NA
